Corona,Yuengling,Yu. Porter,Budweiser,Bud Light,Miller,Miller Light,Anchor Steam,Sierra Nevada,Harp,Newcastle,Chimay,Guiness,Murphy Stout,Fullers ESB,Sex
9,8,14,6,1,5,2,3,4,7,12,11,13,15,10,1
14,12,13,3,7,4,5,1,2,8,15,6,9,11,10,1
7,9,4,14,12,15,13,10,8,11,6,3,1,2,5,1
5,10,8,4,1,3,2,6,7,11,9,15,13,12,14,1
11,8,15,4,7,5,6,1,2,3,14,10,12,13,9,1
8,7,13,5,1,4,2,3,6,9,11,12,14,15,10,1
8,7,11,4,1,3,2,5,6,9,10,13,15,14,12,1
6,5,11,4,1,3,2,7,8,9,10,13,15,14,12,2
5,8,1,12,7,10,9,15,14,13,2,6,4,3,11,2
9,11,4,13,12,15,14,8,7,10,5,2,1,3,6,2
7,10,1,15,12,14,13,9,8,11,4,5,2,3,6,2
14,15,7,10,13,11,12,4,5,9,8,3,1,2,6,2
12,10,15,3,7,4,6,1,2,5,14,8,11,13,9,2
3,6,4,9,1,8,2,11,12,13,5,15,10,7,14,2
