pepsi,coke,cclassic,d_pepsi,d_slice,d_7up,dr_peppr,slice,sevenup,tab,darkness,sweetness,popularity,D1,D2
0,1,3,7,27,41,18,24,35,12,9,8,6,1.1135,-.0053
1,0,2,9,28,42,17,25,36,11,9,8,9,1.1135,-.0053
3,2,0,8,32,43,19,26,38,10,8,9,6,1.1135,-.022
7,9,8,0,22,29,20,31,44,4,7,2,4,.7456,.8417
27,28,32,22,0,13,30,5,15,33,3,1,1,-1.3292,.1172
41,42,43,29,13,0,40,16,6,34,1,1,4,-1.7853,.2921
18,17,19,20,30,40,0,23,37,21,7,4,7,.9608,-.9991
24,25,26,31,5,16,23,0,14,39,3,2,5,-1.2346,-.7347
35,36,38,44,15,6,37,14,0,45,1,2,7,-1.8724,-.4355
12,11,10,4,33,34,21,39,45,0,2,1,1,1.1565,.9507
