pepsi,coke,cclassic,d_pepsi,d_slice,d_7up,dr_peppr,slice,sevenup,tab
0,1,3,7,27,41,18,24,35,12
1,0,2,9,28,42,17,25,36,11
3,2,0,8,32,43,19,26,38,10
7,9,8,0,22,29,20,31,44,4
27,28,32,22,0,13,30,5,15,33
41,42,43,29,13,0,40,16,6,34
18,17,19,20,30,40,0,23,37,21
24,25,26,31,5,16,23,0,14,39
35,36,38,44,15,6,37,14,0,45
12,11,10,4,33,34,21,39,45,0
0,5,4,7,27,44,18,24,35,12
5,0,6,9,28,43,17,25,36,11
4,6,0,8,32,42,19,26,38,10
7,9,8,0,22,29,20,31,41,3
27,28,32,22,0,13,30,2,15,33
44,43,42,29,13,0,40,16,1,34
18,17,19,20,30,40,0,23,37,21
24,25,26,31,2,16,23,0,14,39
35,36,38,41,15,1,37,14,0,45
12,11,10,3,33,34,21,39,45,0
0,6,4,7,27,44,18,24,35,12
6,0,5,8,28,43,17,25,36,11
4,5,0,9,32,42,19,26,38,10
7,8,9,0,22,29,20,31,41,3
27,28,32,22,0,13,30,2,15,33
44,43,42,29,13,0,40,16,1,34
18,17,19,20,30,40,0,23,37,21
24,25,26,31,2,16,23,0,14,39
35,36,38,41,15,1,37,14,0,45
12,11,10,3,33,34,21,39,45,0
